Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2015;895.843
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2024;440.531
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2023;480.145
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2022;486.367
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2021;360.802
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2020;217.047
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2019;315.123
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2018;184.369
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2017;226.255
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2016;186.805
03 Asturias, Principado de;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2015;240.000
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2024;142.655
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2023;149.278
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2022;175.604
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2021;92.304
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2020;""
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2019;89.077
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2018;158.758
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2017;176.271
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2016;105.350
03 Asturias, Principado de;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2015;119.790
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2024;249.379
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2023;297.531
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2022;255.904
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2021;244.645
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2020;222.587
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2019;324.937
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2018;329.103
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2017;407.492
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2016;312.571
03 Asturias, Principado de;Viajes;De mercado;Casa rural;Total;Total;Total;Total;Total;2015;307.559
03 Asturias, Principado de;Viajes;Albergue;;Total;Total;Total;Total;Total;2024;""
03 Asturias, Principado de;Viajes;Albergue;;Total;Total;Total;Total;Total;2023;""
03 Asturias, Principado de;Viajes;Albergue;;Total;Total;Total;Total;Total;2022;""
03 Asturias, Principado de;Viajes;Albergue;;Total;Total;Total;Total;Total;2021;""
03 Asturias, Principado de;Viajes;Albergue;;Total;Total;Total;Total;Total;2020;""
