Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2024;6.311.860
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2023;6.761.155
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2022;6.951.295
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2021;5.423.813
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2020;3.640.284
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2019;6.922.928
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2018;7.389.396
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2017;7.154.904
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2016;7.160.202
02 Aragón;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2015;6.188.251
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2024;3.636.509
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2023;3.914.885
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2022;3.935.119
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2021;2.894.816
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2020;1.917.518
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2019;4.126.710
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2018;4.155.643
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2017;4.068.311
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2016;3.487.580
02 Aragón;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2015;2.953.465
02 Aragón;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2024;""
02 Aragón;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2023;""
02 Aragón;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2022;""
02 Aragón;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2021;""
02 Aragón;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2020;""
02 Aragón;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2019;""
02 Aragón;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2018;""
02 Aragón;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2017;""
02 Aragón;Viajes;Total;;Turismo de sol y playa;Total;Total;Total;Total;2016;""
